user,item,rating
645,1800233344,3
4775,1807428619,5
5839,1800353749,5
770,1804738128,5
5979,1808415480,4
5382,1804856716,5
7090,1808465610,4
857,1807592188,3
6299,1808406264,4
30,1800019512,5
2530,1800082735,5
6449,1808411818,1
3743,1800121659,5
988,1800022581,2
1848,1800019431,4
633,1808403062,4
3633,1800107656,5
786,1800233344,5
1142,1800019154,4
3014,1808405417,4
5909,1807993019,5
4682,1807537463,1
4224,1808405757,5
3438,1808416901,3
3902,1808439458,1
7157,1807427087,5
282,1800109653,5
2684,1800150158,5
2971,1800026398,5
6084,1808450790,4
4139,1808403981,3
668,1808405428,5
6522,1800062915,3
3637,1804738128,5
1790,1800161524,5
2525,1800019304,5
6465,1800342120,5
4735,1807592188,5
7256,1808405164,5
1438,1800258846,3
6586,1800178698,5
6792,1800019537,2
3841,1800103924,5
6539,1807485310,5
1665,1808404549,3
6063,1800035407,4
4538,1808403329,4
5179,1808404170,1
6079,1808435938,4
2107,1808405428,5
2585,1800065802,5
5373,1800130362,4
1456,1800126187,5
2386,1808404018,4
5328,1808403441,4
7026,1808403030,5
3871,1808402795,4
2242,1807816319,4
7103,1800103961,5
6539,1800024300,4
2516,1804094774,4
1941,1800217371,5
509,1800033734,4
3321,1800120663,5
4879,1808403981,3
2307,1807428619,5
4594,1808406642,1
5941,1808405428,4
5321,1800022106,5
1011,1800023122,4
7247,1808433117,4
2420,1808421437,5
339,1800316893,1
3661,1807428853,4
6290,1800070006,5
1573,1800254684,5
6156,1808405417,5
2243,1808465610,4
1248,1800024141,5
2872,1800075818,5
3746,1808404300,5
444,1807993019,4
465,1804476870,5
6094,1800290380,5
713,1800155161,5
1697,1800121659,5
1577,1808429955,4
2272,1800361191,5
1306,1800263036,1
5391,1807537463,5
5642,1800318883,4
5083,1800021531,5
5168,1808409330,4
4290,1804713420,5
7258,1800181342,1
1518,1800041299,5
3083,1802761123,4
1930,1800024594,1
674,1808418410,5
4790,1808405417,5
2057,1808405417,5
3998,1807863342,1
4960,1808402795,5
6148,1800161524,5
4777,1800242003,3
5997,1800195171,3
440,1800349340,4
7157,1800367822,5
3662,1808443070,1
5093,1800353813,2
2670,1800217371,5
6069,1808404170,2
2481,1800245686,4
6708,1808413751,5
363,1800379216,4
521,1808470670,5
1576,1805535166,4
2810,1808396403,4
72,1808403329,4
3422,1807599125,4
2713,1808404659,3
2462,1800258211,4
5947,1800098055,5
133,1807743675,5
5404,1808437167,1
7426,1800235955,5
3485,1808412410,5
4699,1808403030,4
6871,1807592188,1
5715,1803471095,4
7056,1808404018,4
6148,1800258211,4
4093,1800350977,5
501,1800129586,5
6792,1800025219,3
2913,1800075897,5
154,1800116994,5
1657,1800341322,5
7247,1800026767,5
4402,1800266274,5
3088,1800444945,5
1871,1800097119,4
3721,1800126414,2
1328,1808429384,1
7359,1808404477,5
509,1800018710,4
2945,1800018623,5
2481,1800419988,4
66,1800018623,5
400,1800023786,5
3067,1808405428,5
6347,1800024920,5
476,1800193490,4
7450,1800068037,1
5171,1800048758,5
4686,1807432594,5
2330,1808440470,4
6391,1808409330,3
6516,1800195932,5
6898,1800020333,4
6903,1808404477,4
1144,1808403329,5
219,1808404306,2
6544,1808411888,5
5537,1800183197,5
4390,1808404010,2
3488,1800243052,4
3929,1807537463,5
3439,1808403836,4
3814,1800020507,5
1360,1808418671,4
464,1800146805,5
131,1804861086,4
2219,1808431865,5
3911,1808403030,1
2672,1807839027,3
3093,1800420528,5
4190,1800026237,5
1575,1808403751,5
2365,1800244920,5
6326,1804713423,5
2135,1800150111,5
4154,1807599125,4
1901,1800341652,5
5673,1808403981,3
4898,1808429955,4
2530,1808405417,5
7588,1807428619,3
1184,1804738128,5
6350,1808405250,5
6357,1800057265,5
2155,1808418750,4
6036,1800121659,5
7304,1808451090,1
4312,1807776032,4
2976,1807751254,5
7616,1800022026,5
6669,1800080795,5
6465,1800175538,5
3295,1800026205,4
5980,1800025371,3
7097,1800025496,5
6202,1808403836,5
5512,1807592183,5
6970,1800276216,4
7635,1807816319,5
2788,1808421437,4
6829,1800070046,5
2669,1800421139,5
156,1808412006,1
3384,1804383585,5
3025,1800353545,4
6008,1800128578,3
1243,1800340581,1
6797,1800379216,4
2883,1808404170,1
7591,1800350465,5
7596,1800046032,5
1066,1800444945,5
7328,1807743620,4
2071,1800087669,5
3581,1807993019,4
6522,1800076684,5
3439,1808409330,5
4110,1800420407,3
5890,1808405417,5
3479,1807426884,5
460,1804707629,1
7168,1808405428,5
3421,1800022654,5
4098,1800419988,4
2320,1800019616,4
6823,1800420528,4
4016,1808414381,5
6288,1800405019,4
6372,1808404300,2
1313,1800026443,5
5673,1807839027,5
1585,1808402795,4
4142,1808437039,4
7591,1808404170,1
3507,1808411901,4
2261,1807812168,5
1978,1804738128,5
531,1807634180,4
2254,1807993019,4
2899,1800018755,4
3180,1807599125,4
1441,1800225664,5
3395,1808418750,5
6536,1808415480,4
4008,1804456874,5
1503,1808411888,1
2599,1800023362,4
2650,1808405082,1
7432,1800354547,5
2893,1807428853,5
1059,1800359861,5
3664,1807592188,4
1668,1800019111,4
7426,1807743620,4
4506,1807537463,5
4447,1808404622,3
131,1800115125,2
5390,1808411801,5
4133,1800243088,5
5480,1808404170,1
4189,1804379962,5
4526,1808427796,1
7635,1808412549,5
6681,1800025486,5
1731,1807812168,5
5199,1807432594,4
3631,1800022581,5
2759,1800259036,5
990,1807733433,5
6223,1800217371,5
6792,1800026145,4
3509,1800226300,3
7479,1805535170,5
7097,1800262435,5
3039,1807993019,4
5819,1808405417,5
823,1808429384,5
6450,1800362821,5
5648,1808405927,2
3137,1808429384,3
1775,1800353972,4
4601,1807743620,3
6096,1808405428,5
541,1802813191,5
400,1800024981,5
5288,1807599125,3
1072,1804738128,5
2218,1807634520,5
2423,1800022746,4
4570,1808435941,1
6465,1800018710,4
1257,1808404659,5
798,1800036200,4
4535,1808399520,5
131,1800084714,3
7014,1808411888,4
4945,1804738128,5
227,1807839027,1
432,1800410759,5
161,1808404459,5
5149,1800119952,5
2919,1807784227,5
6879,1800109797,5
4395,1800212008,5
7376,1800136335,4
1589,1800019304,4
4550,1808416901,4
1722,1800020333,5
7097,1804857429,4
7589,1800161524,5
2481,1807566990,4
1175,1808421393,5
3836,1800165386,5
400,1800071729,5
4735,1808428820,5
4590,1800018999,5
2683,1808405417,5
6792,1800171102,4
952,1808403981,5
6544,1808429384,5
6148,1807793661,4
5069,1808396025,1
5567,1808406133,3
5192,1800182293,4
1570,1807537463,4
6252,1807733433,4
1924,1808406133,5
3110,1807432836,5
4627,1800340891,5
5406,1808403981,1
7529,1804476879,1
7629,1800361191,2
5206,1800245323,5
2396,1808405417,4
3056,1800065515,5
2456,1800122218,2
2005,1800177445,2
2142,1807839027,4
3721,1800065521,4
2390,1800021063,4
1892,1807592188,2
4323,1807859436,1
1257,1800018892,4
4320,1800025778,4
2631,1808403030,5
3479,1807457672,5
1881,1800122103,5
5617,1807428619,5
1303,1807751254,3
3415,1808404537,1
3464,1808406133,4
3999,1808405164,5
4191,1808429530,5
2484,1800082735,5
531,1800228066,5
3321,1800350348,3
932,1800203488,5
6088,1807634520,4
5362,1800184000,5
4929,1800026053,4
3222,1800024275,4
463,1808465410,2
5948,1800129980,2
7255,1807592188,4
3183,1808440575,1
4099,1808405417,5
4995,1808404541,2
3988,1804383744,5
2071,1807809257,5
1852,1807428619,1
6099,1807816302,3
5368,1808429530,4
1476,1800353571,5
594,1808416901,5
4382,1800022439,5
509,1800090593,4
2974,1808405417,5
518,1800340831,5
453,1804090603,4
5148,1800018639,5
68,1808404742,5
7588,1808412549,5
1150,1800332744,5
7434,1804520039,5
533,1800342734,4
1395,1807432594,5
6280,1808412006,5
3395,1804666512,5
1007,1807993019,3
2386,1804147056,4
2314,1800228066,4
