item,title,genres,other
12070,8490,Unknown,0
19512,7975,Rock,134
18953,3492,Unknown,0
695,2653,Unknown,0
243,2282,Unknown,0
7783,3832,Unknown,0
11704,1655,Pop,106
10126,6328,R&B,114
10672,4121,Unknown,0
12302,9197,Country,54
14464,6069,Unknown,0
125,4656,Unknown,0
16830,6857,Rock,134
1195,7770,Unknown,0
16607,8460,Unknown,0
16565,2183,Rock,134
2918,1109,Unknown,0
2465,106,Unknown,0
19449,7422,Unknown,0
14770,5888,Unknown,0
9956,3597,Unknown,0
7814,6724,Unknown,0
16764,535,Unknown,0
12000,1600,Unknown,0
4293,1450,Unknown,0
6863,4378,Unknown,0
10491,6146,Rock,134
15202,8301,Rock,134
3041,8075,Unknown,0
8604,4774,Unknown,0
2452,6671,Unknown,0
5032,2638,Unknown,0
6934,1752,Unknown,0
1625,8801,Unknown,0
2733,5485,Unknown,0
4196,39,Unknown,0
19726,8806,Unknown,0
13824,2939,Unknown,0
11199,4234,Unknown,0
8873,7539,Unknown,0
9775,6460,Unknown,0
11089,43,Unknown,0
3752,2999,Pop,106
14034,3677,Rock,134
4672,2868,Unknown,0
1537,1655,Unknown,0
5250,1583,Unknown,0
10240,6144,Unknown,0
3109,6099,Unknown,0
11723,9118,Unknown,0
13542,820,Unknown,0
16083,3901,Unknown,0
5581,5370,Unknown,0
9128,4719,Unknown,0
10782,7643,Unknown,0
14445,8510,Unknown,0
13354,3373,Pop,106
17833,5999,Unknown,0
8837,2037,Unknown,0
475,7088,Unknown,0
5549,9302,Unknown,0
16278,6099,Unknown,0
6963,2862,Unknown,0
13374,2420,Unknown,0
4571,4637,Unknown,0
10287,6625,Unknown,0
14631,3116,Unknown,0
1115,3317,Unknown,0
7618,3371,Unknown,0
2039,3305,Rock,134
2467,1026,Unknown,0
17783,483,Unknown,0
11757,4700,Unknown,0
11223,5205,Unknown,0
14168,3893,Rock,134
568,802,Unknown,0
14385,8526,Unknown,0
4490,8065,Rock,134
16043,2954,Unknown,0
18648,7073,Unknown,0
4172,4683,Unknown,0
9855,789,Unknown,0
11211,7747,Pop,106
2774,4331,Unknown,0
17750,2521,Unknown,0
14748,507,Unknown,0
10485,447,Unknown,0
11475,8304,Unknown,0
12212,6246,Rock,134
6992,8078,Unknown,0
10358,5955,Unknown,0
12111,7088,Unknown,0
9931,5955,Unknown,0
574,1251,Unknown,0
19803,1163,Unknown,0
13816,5834,Unknown,0
10143,5222,Unknown,0
13229,8024,Unknown,0
11281,1269,Unknown,0
15806,5535,Unknown,0
3467,2461,Unknown,0
2615,557,Unknown,0
10260,7261,Unknown,0
4510,473,Unknown,0
5031,2638,Unknown,0
2724,2250,Unknown,0
8154,852,Unknown,0
5074,2868,Unknown,0
17819,4830,Unknown,0
14416,6262,R&B,114
10492,242,Unknown,0
9739,5353,Rock,134
10013,7580,Unknown,0
3261,3305,Rock,134
15111,7780,Unknown,0
15218,1360,Unknown,0
18449,3365,Unknown,0
4520,4117,Unknown,0
17830,69,Unknown,0
15262,3963,Unknown,0
16470,6913,Unknown,0
5704,2379,Unknown,0
232,8798,Unknown,0
5193,7621,Unknown,0
12548,167,Unknown,0
13159,8434,Unknown,0
7964,2528,Unknown,0
15807,6062,Unknown,0
15188,2022,Rock,134
1088,1804,Unknown,0
3360,8148,Unknown,0
622,5229,Unknown,0
11293,3952,Unknown,0
20480,569,Unknown,0
15880,4303,Unknown,0
3960,1550,Unknown,0
14905,6856,Unknown,0
9509,2369,Unknown,0
12997,369,Unknown,0
1700,2567,Folk,65
10166,7338,Unknown,0
11335,7764,Unknown,0
4913,2268,Unknown,0
4398,962,Unknown,0
16482,4716,Unknown,0
10032,6585,Unknown,0
16967,1161,Unknown,0
16726,717,Unknown,0
13312,6853,Unknown,0
8472,1257,Unknown,0
16393,444,Unknown,0
465,705,Unknown,0
14536,7307,Unknown,0
4264,7634,Unknown,0
14881,2398,Unknown,0
12051,8021,Rock,134
15850,4083,Unknown,0
2210,6019,R&B,114
14578,3648,Unknown,0
10201,3071,Unknown,0
4007,6930,Unknown,0
1097,5910,Unknown,0
5916,8761,Country,54
15614,3546,R&B,114
16749,2890,Unknown,0
13257,8760,Unknown,0
5303,7231,Unknown,0
17745,1471,Unknown,0
785,1853,Unknown,0
2831,1655,Unknown,0
15525,2415,Pop,106
4888,3842,Unknown,0
13584,5761,Unknown,0
1146,1772,R&B,114
18034,6809,Unknown,0
14465,8151,Unknown,0
18713,2273,Rock,134
13328,2571,Unknown,0
5972,3190,Unknown,0
14005,656,Unknown,0
10952,3984,Unknown,0
7851,2860,Unknown,0
10468,7490,Unknown,0
2144,3706,Rock,134
10063,8801,Unknown,0
12449,8555,Unknown,0
17146,1579,Unknown,0
3782,5410,Unknown,0
11266,6421,Unknown,0
11782,634,Unknown,0
3438,9317,Unknown,0
20345,2535,Unknown,0
9834,5574,Pop,106
18207,3524,Unknown,0
17964,7536,Unknown,0
14037,7157,Unknown,0
9950,8798,Unknown,0
3218,3677,Rock,134
5182,4589,Unknown,0
6927,5365,Unknown,0
6024,8213,Unknown,0
13913,2546,Unknown,0
17320,7066,Unknown,0
348,9212,Unknown,0
11646,7619,Unknown,0
8405,3586,Unknown,0
19851,1094,Unknown,0
346,360,Unknown,0
17380,3768,Unknown,0
7060,3494,Unknown,0
17734,7943,Unknown,0
6472,4828,Pop,106
2210,6019,R&B,114
7131,7143,Unknown,0
14295,7088,Unknown,0
7892,3712,Unknown,0
17872,27,Unknown,0
722,9146,Unknown,0
12096,2667,Unknown,0
6414,3758,Unknown,0
6439,6832,Unknown,0
10714,5983,Unknown,0
11394,7825,Unknown,0
7830,3075,Unknown,0
5407,5113,Rap,35
18334,2236,Unknown,0
11685,43,Unknown,0
12791,9414,Unknown,0
13191,676,Unknown,0
2357,404,Pop,106
2903,5801,Unknown,0
6769,862,Unknown,0
1216,3109,Unknown,0
5168,7779,Unknown,0
2601,571,Unknown,0
1801,399,Unknown,0
5719,4673,Unknown,0
13728,1422,Rock,134
15986,7066,Unknown,0
4292,4250,Unknown,0
1409,9247,Unknown,0
16299,6983,Unknown,0
16465,6782,Unknown,0
16455,3814,Unknown,0
5533,3076,Pop,106
159,2722,Unknown,0
9889,7062,Unknown,0
3750,2970,Unknown,0
12420,8879,R&B,114
14192,5633,Unknown,0
10657,8472,Reggae,27
18860,8441,Unknown,0
6415,7611,Unknown,0
6705,755,Unknown,0
3539,5511,R&B,114
13990,1499,Unknown,0
7731,7319,Unknown,0
12164,7868,Unknown,0
7309,4200,Unknown,0
16862,6902,Unknown,0
18118,4942,Unknown,0
6678,5658,Unknown,0
8774,8174,Unknown,0
9690,5231,Unknown,0
5372,7945,Unknown,0
9803,6026,Unknown,0
2406,2450,Unknown,0
20090,1465,Unknown,0
87,6873,Unknown,0
8520,31,Unknown,0
9881,122,Unknown,0
16061,4524,Unknown,0
11826,7728,Unknown,0
20452,2988,Unknown,0
10514,8370,Unknown,0
10354,783,Unknown,0
9416,2361,Unknown,0
12430,6351,Unknown,0
13477,4692,Unknown,0
10641,8300,Unknown,0
18248,3813,Unknown,0
1442,489,Unknown,0
13362,2965,Unknown,0
13115,251,Unknown,0
19621,3428,Unknown,0
9716,5095,Religious,123
12448,8363,Unknown,0
16078,8798,Unknown,0
10676,5753,Rap,35
8053,8187,Unknown,0
19062,8422,Unknown,0
16549,3907,Unknown,0
