,Model,Fold,Calibration Column,Tradeoff,MACE Genres,MACE Pop,LTC,MRMC Genres,MRMC Pop,AGGDIV,Prec@10,MAP@10,MRR,GAPBB,GAPN,GAPD
0,itemknn,2,personalized,0.0,0.04323687715388984,0.2185492448887834,0.42818217205138187,0.5481951091436602,0.34071083836023847,0.4355256841094575,0.14425136872173291,0.106299599238782,0.24643675793997255,-0.6991091505785842,0.45664763100115624,-0.4705483701572166
1,itemknn,2,personalized,0.2,0.06474345490852076,0.18506842286228117,0.4621448034254574,0.40005297836005255,0.23269471793173893,0.4693230916946711,0.08275807347456955,0.09436349244133181,0.2075373525325923,-0.7668923796961721,0.17918483245472472,-0.44175008168648267
2,itemknn,2,personalized,0.4,0.06494657351158568,0.17480315665582283,0.47936940443752435,0.3982890325201849,0.22928515797427687,0.48622179548727795,0.08220265016265968,0.09637722311014421,0.20919332635590826,-0.8005794068775162,0.2158522809280441,-0.4121980123001783
3,itemknn,2,personalized,0.6,0.06500399304077659,0.1712363934512948,0.4873491630984819,0.3978142212918168,0.22828393620003412,0.4940950552088334,0.08156788066333413,0.09739747024203166,0.2099109685398677,-0.7804256441051239,0.24351276042601433,-0.3987783779579248
4,itemknn,2,personalized,0.8,0.06503075109274484,0.17025409029596114,0.4908524717789023,0.3977524291585245,0.22810820203884605,0.49764762361977916,0.08125049591367135,0.09741334262817296,0.20928205554485144,-0.797844797956571,0.26088216146399934,-0.39490085464768776
5,itemknn,2,personalized,1.0,0.06498166903416587,0.1700937171043932,0.494550408719346,0.39768295080755794,0.2282699647031743,0.5012962073931829,0.08101245735142426,0.09739243238886237,0.20876791114234705,-0.7969756192846722,0.27444308572506637,-0.39275117932856585
6,slopeOne,2,personalized,0.0,0.03973249596163966,0.2465413658123709,0.02325807707279097,0.6026915562856112,0.6775675209775361,0.025444071051368217,0.012616043799095453,0.011382226328072615,0.032511753941175704,-0.967944588922045,-0.3858705020224116,-0.8876747985030673
7,slopeOne,2,personalized,0.2,0.06470914368243212,0.2385084292099767,0.03191903464383029,0.4237007157373891,0.34468364067616314,0.0357177148343735,0.055066254066492105,0.06515701413999421,0.14942974650782054,-0.9493207839288433,0.0187282367943844,-0.5919176514288751
8,slopeOne,2,personalized,0.4,0.06424541487617029,0.20678028114998964,0.03337874659400545,0.41936223908802756,0.3046684357498974,0.03725396063370139,0.06030310243592795,0.07919609717514958,0.17676768821734024,-0.8959095003948466,0.19366912410293913,-0.43060852204739475
9,slopeOne,2,personalized,0.6,0.06455937439143118,0.19073789706154576,0.033086804203970414,0.4181579694683563,0.29351106776029195,0.03696591454632741,0.06165198762199477,0.0857911066778,0.18681206540644701,-0.8684287139058332,0.2816430346524488,-0.35950705489974044
10,slopeOne,2,personalized,0.8,0.06472404661922201,0.18511349678647906,0.0331841183339821,0.41781797525893427,0.289385379248483,0.03706192990878541,0.0625247956835674,0.0886497734855269,0.19149704844777432,-0.8483156144631205,0.3393402581070699,-0.3176611760158806
11,slopeOne,2,personalized,1.0,0.06476617242299589,0.18378335713718966,0.03337874659400545,0.4177346599610278,0.28759832847952777,0.03725396063370139,0.06292152662064587,0.09004893329756467,0.19368061144423931,-0.8626926429629216,0.37404761935803044,-0.29520475186706563
12,SVDpp,2,personalized,0.0,0.03955098532608518,0.268918406993043,0.014207862981704943,0.5915163366434402,0.41733353288744635,0.016514642342774843,0.08672538284535428,0.049232561786120434,0.1430221955215993,-0.8629188327342636,0.15531131759024475,-0.702029343309744
13,SVDpp,2,personalized,0.2,0.05901918299486193,0.17008126504271426,0.02627481510315298,0.4327268373062964,0.1714405476463225,0.029764762361977917,0.03864159327144331,0.0761110009080728,0.17401765011857556,-0.5971458514072886,0.19989771701552783,-0.30708862843118134
14,SVDpp,2,personalized,0.4,0.05846292840678146,0.15711182919410685,0.027929155313351498,0.43176535871944915,0.16456101521246835,0.0314930388862218,0.03919701658335317,0.08037614186090719,0.17946123938744565,-0.5980379032021322,0.2226145404756774,-0.24606617891970306
15,SVDpp,2,personalized,0.6,0.05827776625633185,0.1540205559522859,0.02822109770338653,0.4315170292171056,0.1628592005383013,0.03187710033605377,0.03935570895818456,0.08149270644807376,0.18090023917207743,-0.616511762167141,0.2550399597429869,-0.23068841698290055
16,SVDpp,2,personalized,0.8,0.05819136036239497,0.1530708654024172,0.02831841183339821,0.43141880691116397,0.16202452795109612,0.03197311569851176,0.039514401333015946,0.08183585037072255,0.1810713687469206,-0.6044652507495951,0.28429151046450984,-0.22410558917430068
17,SVDpp,2,personalized,1.0,0.058140785763143646,0.15263184559231951,0.02861035422343324,0.43136610284590826,0.16172893498060317,0.03226116178588574,0.03975243989526303,0.08197204873115312,0.18126564095976005,-0.5982818831802093,0.2870624400160846,-0.22216028851636838
18,NMF,2,personalized,0.0,0.04000254892164048,0.25388570578433584,0.11093810821331257,0.566073249826441,0.5417506512608523,0.11589054248679789,0.01578989129572324,0.01857253375046762,0.05069166575355576,-0.8946946834206722,0.021193031997173817,-0.7640315986171067
19,NMF,2,personalized,0.2,0.06198128041421917,0.2133600320029621,0.15579992214869598,0.40630206999644547,0.24959094124007075,0.16178588574171868,0.03562643814964691,0.04981685514534769,0.11993859486718186,-0.8246393907572434,0.09294099467091943,-0.5285231646355466
20,NMF,2,personalized,0.4,0.062240441151457465,0.18786782379856576,0.16523939275982874,0.4027292401396031,0.23410942529911222,0.17167546807489198,0.03681663096088233,0.05605528854933718,0.1319245921542971,-0.8275773163265858,0.17810260616226148,-0.43409568235719687
21,NMF,2,personalized,0.6,0.06232013574955868,0.17749086593139193,0.170591669910471,0.40175717505213704,0.22826992550272962,0.17705232837253962,0.03761009283503928,0.05923703602946591,0.13744201745867754,-0.8496473385101234,0.2169096855165522,-0.3889545630082514
22,NMF,2,personalized,0.8,0.06231613595367698,0.1743068991509962,0.17312183729077463,0.4015381630837061,0.22671357681027546,0.1796447431589054,0.03800682377211775,0.06063403586195753,0.13996780811824588,-0.8354278804128303,0.2629986254212793,-0.37067026924133095
23,NMF,2,personalized,1.0,0.06227637713968945,0.1733669906635993,0.17516543402101986,0.4013843498459274,0.22615278306056794,0.18175708113298128,0.03848290089661192,0.06128211473962449,0.14126707045059556,-0.8215184802043433,0.2932182225970701,-0.36086541448562903
