,Model,Fold,Calibration Column,Tradeoff,MACE Genres,MACE Pop,LTC,MRMC Genres,MRMC Pop,AGGDIV,Prec@10,MAP@10,MRR,GAPBB,GAPN,GAPD
0,itemknn,2,popularity,0.0,0.8304486941133256,0.3771523225500644,0.10198494182067078,0.34822725116487124,0.24306355522756856,0.10397039030955585,0.00882515168229454,0.006043553456457827,0.01647312082790221,-0.83143491083938,-0.6298583294073343,-0.8354602710362392
1,itemknn,2,popularity,0.2,0.9000056387289268,0.2334338606469954,0.10232717316906229,0.3522132757063532,0.13991558040050328,0.10397039030955585,0.015444015444015444,0.007445533492458484,0.02097461333152768,-0.791457371356299,-0.7526720536979074,-0.7886126602464161
2,itemknn,2,popularity,0.4,0.9093654408535685,0.20997141248963103,0.10232717316906229,0.3531643729363338,0.11373031997643293,0.10430686406460296,0.01765030336458908,0.008013813417297237,0.022572636116894945,-0.6789432653884524,-0.7589072120080442,-0.7766924755051327
3,itemknn,2,popularity,0.6,0.9223844842873361,0.1709464569261761,0.10198494182067078,0.35517241561521107,0.08079930999489575,0.10397039030955585,0.019305019305019305,0.008625556514820642,0.02433584999351088,-0.6430871217283695,-0.7728890821580479,-0.7558126564475556
4,itemknn,2,popularity,0.8,0.9443619636888008,0.10625546273255118,0.10335386721423682,0.3541916363123556,0.04335103972473491,0.10531628532974428,0.019305019305019305,0.009117433796601947,0.025451418865922983,-0.4333080743377692,-0.8068990365769758,-0.7067669337446931
5,itemknn,2,popularity,1.0,0.9502860497534384,0.09199308567365808,0.10472279260780287,0.3541432184880134,0.03585732653555967,0.1066621803499327,0.018753447324875896,0.009641799129890135,0.026225602220980845,-0.3570622516123054,-0.8068990365769758,-0.6746115523521834
6,slopeOne,2,popularity,0.0,0.8387409689243349,0.38547427420310476,0.06810403832991102,0.35617194540308716,0.26925350757717664,0.06864064602960969,0.0027578599007170436,0.0009894255130657548,0.0029508686991801102,-0.8512176107897707,-0.7052470617026245,-0.8766874925598986
7,slopeOne,2,popularity,0.2,0.9106118594194712,0.23624629695461483,0.07529089664613278,0.35915490070074246,0.17722992760750975,0.07738896366083446,0.002206287920573635,0.0009900462140063988,0.0028353336831829544,-0.8512176107897707,-0.773644858922913,-0.8394205752716004
8,slopeOne,2,popularity,0.4,0.9243589932996277,0.22303234980447856,0.07597535934291581,0.35992382125877226,0.1489703137568785,0.07806191117092867,0.0027578599007170436,0.0012155158306953544,0.003525158137671468,-0.7778567651404055,-0.7764790217911569,-0.8328784152363905
9,slopeOne,2,popularity,0.6,0.9537740482735103,0.19437094442469496,0.07802874743326489,0.3612948807794936,0.10583401259804963,0.0800807537012113,0.0027578599007170436,0.0012929341662011407,0.0037872632166979833,-0.6801796841353519,-0.791405612897242,-0.8176318891136857
10,slopeOne,2,popularity,0.8,0.9975812670596881,0.11977593316743697,0.0783709787816564,0.3611797855823736,0.05050908229865221,0.08041722745625841,0.003861003861003861,0.002126972841512478,0.006040125494444724,-0.5507678552932134,-0.8101110878276523,-0.7736904089286463
11,slopeOne,2,popularity,1.0,1.007885633926285,0.10574019433582188,0.07973990417522245,0.3615347003538627,0.04022711391031435,0.08176312247644683,0.003861003861003861,0.003023913914422267,0.008232469430478673,-0.5507678552932134,-0.8137010274607615,-0.7358467537519848
12,SVDpp,2,popularity,0.0,0.6557291016938179,0.29650663585732917,0.07460643394934977,0.36538409968417035,0.17175362737323,0.07705248990578735,0.01709873138444567,0.00773723472088207,0.021899034527900537,-0.696665267427344,-0.5635389182904248,-0.7274891036323964
13,SVDpp,2,popularity,0.2,0.6788921691236831,0.2313328474937781,0.07357973990417523,0.36751211765041836,0.1212247557865183,0.07604306864064603,0.01709873138444567,0.007802746883799138,0.021895225681219314,-0.6472085175513675,-0.6013277565336781,-0.7086867752368881
14,SVDpp,2,popularity,0.4,0.6970626116684583,0.18109387368171628,0.0732375085557837,0.36643193478404296,0.08138498269718326,0.07570659488559893,0.01654715940430226,0.007907631235928423,0.021977327487459047,-0.5037839429110357,-0.6315588271282806,-0.6946806843974216
15,SVDpp,2,popularity,0.6,0.7356855191555685,0.1094900699134968,0.07392197125256673,0.36300067354617,0.04361608008101635,0.07637954239569314,0.01654715940430226,0.00840942562592047,0.023000637629148144,-0.39456695360158756,-0.7740227473053455,-0.6680003857408365
16,SVDpp,2,popularity,0.8,0.7543435610090419,0.07912515108425172,0.07357973990417523,0.36045677615440214,0.031507089124563736,0.07604306864064603,0.01654715940430226,0.008775060800478506,0.02385438355932493,-0.16335664793139748,-0.8042538178999481,-0.6405929934039813
17,SVDpp,2,popularity,1.0,0.7553306997343613,0.07860012442232515,0.07460643394934977,0.35994315367268503,0.030578851301537598,0.07705248990578735,0.018753447324875896,0.009177641787844412,0.025342937269705882,-0.16665376458979586,-0.8042538178999481,-0.6347094815019795
18,NMF,2,popularity,0.0,0.8050142506121053,0.38399383813247884,0.09753593429158111,0.34404926942598557,0.26726993979705543,0.09791386271870794,0.006618863761720904,0.0025731157494399575,0.007616000541702636,-0.8392655629030763,-0.6920209683174858,-0.8683584549230984
19,NMF,2,popularity,0.2,0.8654100075391458,0.24210637516293304,0.10506502395619438,0.3502413593205288,0.16599712615345003,0.10699865410497982,0.005515719801434087,0.0032516406254408377,0.009138833872214605,-0.8392655629030763,-0.788571450028998,-0.8230026204417927
20,NMF,2,popularity,0.4,0.8730311462897038,0.22252623533594013,0.1054072553045859,0.3522639295924298,0.13837065643052618,0.10733512786002691,0.006067291781577496,0.0035170043844057336,0.009830633284241531,-0.8079429546482912,-0.7944287199567023,-0.8131896609035154
21,NMF,2,popularity,0.6,0.8855824918316291,0.18548403246830192,0.10506502395619438,0.35343629823842404,0.09378182501675482,0.10699865410497982,0.006067291781577496,0.003803316800117367,0.010445409352270353,-0.6805918237176518,-0.8033090969438668,-0.7894676685556224
22,NMF,2,popularity,0.8,0.9023063329561497,0.11448425761346132,0.10472279260780287,0.35517996369413557,0.04907964009119228,0.1066621803499327,0.007722007722007722,0.004953122972141811,0.013555967475270722,-0.27834359139304277,-0.8076548133418409,-0.7375848218241126
23,NMF,2,popularity,1.0,0.9071168662571474,0.10371896551724143,0.10369609856262833,0.35520453728058543,0.04118503690861624,0.10565275908479138,0.009376723662437948,0.005689344821943469,0.015763123592842765,-0.29812629134343327,-0.8076548133418409,-0.7043146756610029
