,Model,Fold,Calibration Column,Tradeoff,MACE Genres,MACE Pop,LTC,MRMC Genres,MRMC Pop,AGGDIV,Prec@10,MAP@10,MRR,GAPBB,GAPN,GAPD
0,itemknn,1,double,0.0,0.706152350309335,0.4491641426709319,0.06653565412689501,0.6286371117922235,0.41121085146788416,0.06653291400065069,0.007465339495200853,0.0073501430433531405,0.019625999469582867,-0.7109230767021725,-0.3492921646258117,-0.6152589452816046
1,itemknn,1,double,0.2,0.19643555786552602,0.41318361772721834,0.07540707467714768,0.3254682454346956,0.38850952235539216,0.07580522719878538,0.006398862424457874,0.006326931649540961,0.016792922880729512,-0.7462800820316982,-0.45874383525304896,-0.6643479324637223
2,itemknn,1,double,0.4,0.19637700777320416,0.41313389027135844,0.07540707467714768,0.32531961123522596,0.3883068214365424,0.07580522719878538,0.006398862424457874,0.006326931649540961,0.016792922880729512,-0.7471842100249628,-0.45806123343623406,-0.6643118773868348
3,itemknn,1,double,0.6,0.19637700777320416,0.4130750207370534,0.07540707467714768,0.32531961123522596,0.38845447776570896,0.07580522719878538,0.006398862424457874,0.006356005845874311,0.01678516411897146,-0.7461800678731512,-0.4594264370698641,-0.6642971882814361
4,itemknn,1,double,0.8,0.19637700777320416,0.4131348382509768,0.07540707467714768,0.32531961123522596,0.3883072164089163,0.07580522719878538,0.006398862424457874,0.006326931649540961,0.016792922880729512,-0.7471842100249628,-0.45806123343623406,-0.6643118773868348
5,itemknn,1,double,1.0,0.10964273018130115,0.4116243749259396,0.0777091521617069,0.32531961123522596,0.3844066452138921,0.07791996529660558,0.006398862424457874,0.00626271731586342,0.016532651690845803,-0.7474242440054755,-0.4687945585558081,-0.6618574614120594
6,slopeOne,1,double,0.0,0.6963545797360984,0.4839614468538928,0.035934868051656375,0.6278562258789616,0.5071496200767225,0.03535408307125041,0.005332385353714895,0.0027413680248731787,0.008145712367184105,-0.8184783028035867,-0.5901329159931004,-0.7630941081322352
7,slopeOne,1,double,0.2,0.18504157931770815,0.4480600426590825,0.05075800112296463,0.3331713783013552,0.46324729054684094,0.050103025702201494,0.002132954141485958,0.0016597402084426612,0.004844711910122504,-0.8350606502906747,-0.6694088787183767,-0.7745469365368386
8,slopeOne,1,double,0.4,0.18496526131568805,0.448053827467709,0.05081414935429534,0.3330906166448737,0.46318623299317546,0.050157249755991756,0.002132954141485958,0.0016526303613043744,0.0048328621648920265,-0.8352126718116661,-0.6696442586552096,-0.7745729763145905
9,slopeOne,1,double,0.6,0.18496526131568805,0.44807639530750043,0.05075800112296463,0.3330906166448737,0.4630576646037743,0.050103025702201494,0.002132954141485958,0.0016675836112380724,0.004847674346430123,-0.8352246735106917,-0.6694088787183767,-0.774554948776147
10,slopeOne,1,double,0.8,0.18496526131568805,0.44805833037089654,0.05081414935429534,0.3330906166448737,0.4632010237404016,0.050157249755991756,0.002132954141485958,0.0016526303613043744,0.0048328621648920265,-0.8352126718116661,-0.6696442586552096,-0.7745729763145905
11,slopeOne,1,double,1.0,0.10962199312714783,0.445458395544495,0.05294778214486244,0.3330906166448737,0.4592167264246633,0.05221776380002169,0.002132954141485958,0.001645167843177086,0.00473270360401537,-0.832512289530898,-0.665854641672202,-0.7720958589951084
12,SVDpp,1,double,0.0,0.7900496478945178,0.28362786467590917,0.03469960696238068,0.6381998144521847,0.2668059559502299,0.03768571738423165,0.018130110202630643,0.01333978015901229,0.03529601792132899,-0.6699932824584094,-0.4396074463885449,-0.4477243567183048
13,SVDpp,1,double,0.2,0.5291407771633496,0.27603958999881567,0.039303761931499155,0.3228562538090127,0.2702413309241291,0.04218631384882334,0.014930678990401706,0.011346427301813018,0.03009172267081975,-0.6887279346374284,-0.4859066799635505,-0.49656162604881937
14,SVDpp,1,double,0.4,0.5291407771633496,0.2760515641663711,0.03935991016282987,0.3228562538090127,0.27027254928425853,0.0422405379026136,0.014930678990401706,0.011352352174428258,0.030100186774555802,-0.6887279346374284,-0.4856477620330345,-0.496550275376466
15,SVDpp,1,double,0.6,0.5291407771633496,0.2759924339376711,0.03935991016282987,0.3228562538090127,0.2702802553870764,0.0422405379026136,0.014930678990401706,0.011388874782049337,0.030132773573939616,-0.6887279346374284,-0.4859066799635505,-0.4965282417183682
16,SVDpp,1,double,0.8,0.5291407771633496,0.276055877473635,0.03935991016282987,0.3228562538090127,0.2702746233469307,0.0422405379026136,0.014930678990401706,0.011352352174428258,0.030100186774555802,-0.6887279346374284,-0.4856477620330345,-0.496550275376466
17,SVDpp,1,double,1.0,0.11609787889560381,0.2861769344709096,0.04059517125210556,0.3228562538090127,0.2743797133984458,0.043162346817048045,0.014930678990401706,0.011027965398743931,0.029346599405255656,-0.6994974592297667,-0.49901734244513574,-0.5084965241851387
18,NMF,1,double,0.0,0.6812978557310911,0.4519064758857691,0.05311622683885458,0.6287119550645366,0.418522938906627,0.05194664353107038,0.002488446498400284,0.0032174456463471735,0.008739751381059592,-0.7691353175428522,-0.5828832139386511,-0.6937134572152439
19,NMF,1,double,0.2,0.2259985903222659,0.41325209740490587,0.07007299270072993,0.3321081448483709,0.4024953524092546,0.06924411669016375,0.0014219694276573053,0.0024567202162296352,0.006250035267098899,-0.8069246672082404,-0.6803305077874171,-0.729583584911887
20,NMF,1,double,0.4,0.2259640285653437,0.4132309989335229,0.07007299270072993,0.3320735830914487,0.402472799354908,0.06924411669016375,0.0014219694276573053,0.0024567202162296352,0.006250035267098899,-0.8071006921272831,-0.6811072615789653,-0.7295809141654509
21,NMF,1,double,0.6,0.2259640285653437,0.4133686633487378,0.07001684446939921,0.3320735830914487,0.402500210769366,0.0691898926363735,0.0014219694276573053,0.0024397920087575243,0.006220410904022706,-0.8068766604121379,-0.6803305077874171,-0.7295515359546539
22,NMF,1,double,0.8,0.2259640285653437,0.41324564521862783,0.07007299270072993,0.3320735830914487,0.40246106780977725,0.06924411669016375,0.0014219694276573053,0.0024567202162296352,0.006250035267098899,-0.8071006921272831,-0.6811072615789653,-0.7295809141654509
23,NMF,1,double,1.0,0.10455741201564167,0.4059166133428133,0.07501403705783267,0.3320735830914487,0.39727653890929643,0.07401583342370675,0.0014219694276573053,0.0024455193856189224,0.006297434248020809,-0.8038242282932843,-0.6706799303772735,-0.7255554315996398
0,itemknn,2,double,0.0,0.706152350309335,0.4491641426709319,0.06653565412689501,0.6286371117922235,0.41121085146788416,0.06653291400065069,0.007465339495200853,0.0073501430433531405,0.019625999469582867,-0.7109230767021725,-0.3492921646258117,-0.6152589452816046
1,itemknn,2,double,0.2,0.19643555786552602,0.41318361772721834,0.07540707467714768,0.3254682454346956,0.38850952235539216,0.07580522719878538,0.006398862424457874,0.006326931649540961,0.016792922880729512,-0.7462800820316982,-0.45874383525304896,-0.6643479324637223
2,itemknn,2,double,0.4,0.19637700777320416,0.41313389027135844,0.07540707467714768,0.32531961123522596,0.3883068214365424,0.07580522719878538,0.006398862424457874,0.006326931649540961,0.016792922880729512,-0.7471842100249628,-0.45806123343623406,-0.6643118773868348
3,itemknn,2,double,0.6,0.19637700777320416,0.4130750207370534,0.07540707467714768,0.32531961123522596,0.38845447776570896,0.07580522719878538,0.006398862424457874,0.006356005845874311,0.01678516411897146,-0.7461800678731512,-0.4594264370698641,-0.6642971882814361
4,itemknn,2,double,0.8,0.19637700777320416,0.4131348382509768,0.07540707467714768,0.32531961123522596,0.3883072164089163,0.07580522719878538,0.006398862424457874,0.006326931649540961,0.016792922880729512,-0.7471842100249628,-0.45806123343623406,-0.6643118773868348
5,itemknn,2,double,1.0,0.10964273018130115,0.4116243749259396,0.0777091521617069,0.32531961123522596,0.3844066452138921,0.07791996529660558,0.006398862424457874,0.00626271731586342,0.016532651690845803,-0.7474242440054755,-0.4687945585558081,-0.6618574614120594
6,slopeOne,2,double,0.0,0.6963545797360984,0.4839614468538928,0.035934868051656375,0.6278562258789616,0.5071496200767225,0.03535408307125041,0.005332385353714895,0.0027413680248731787,0.008145712367184105,-0.8184783028035867,-0.5901329159931004,-0.7630941081322352
7,slopeOne,2,double,0.2,0.18504157931770815,0.4480600426590825,0.05075800112296463,0.3331713783013552,0.46324729054684094,0.050103025702201494,0.002132954141485958,0.0016597402084426612,0.004844711910122504,-0.8350606502906747,-0.6694088787183767,-0.7745469365368386
8,slopeOne,2,double,0.4,0.18496526131568805,0.448053827467709,0.05081414935429534,0.3330906166448737,0.46318623299317546,0.050157249755991756,0.002132954141485958,0.0016526303613043744,0.0048328621648920265,-0.8352126718116661,-0.6696442586552096,-0.7745729763145905
9,slopeOne,2,double,0.6,0.18496526131568805,0.44807639530750043,0.05075800112296463,0.3330906166448737,0.4630576646037743,0.050103025702201494,0.002132954141485958,0.0016675836112380724,0.004847674346430123,-0.8352246735106917,-0.6694088787183767,-0.774554948776147
10,slopeOne,2,double,0.8,0.18496526131568805,0.44805833037089654,0.05081414935429534,0.3330906166448737,0.4632010237404016,0.050157249755991756,0.002132954141485958,0.0016526303613043744,0.0048328621648920265,-0.8352126718116661,-0.6696442586552096,-0.7745729763145905
11,slopeOne,2,double,1.0,0.10962199312714783,0.445458395544495,0.05294778214486244,0.3330906166448737,0.4592167264246633,0.05221776380002169,0.002132954141485958,0.001645167843177086,0.00473270360401537,-0.832512289530898,-0.665854641672202,-0.7720958589951084
12,SVDpp,2,double,0.0,0.7937916770361261,0.291696871667259,0.036047164514317796,0.627225645606569,0.26885688792050116,0.03909554278277844,0.01741912548880199,0.013219872022751518,0.03447415344855801,-0.6783104598831755,-0.4847297802793864,-0.456155235530463
13,SVDpp,2,double,0.2,0.5421038818339938,0.2839339613698301,0.039977540707467715,0.32758415196252333,0.2735745102444595,0.04267433033293569,0.013864201919658727,0.010584573324530671,0.027858751036852737,-0.7000735407829968,-0.502030205636595,-0.5041218415228093
14,SVDpp,2,double,0.4,0.5421038818339938,0.28393880791562953,0.039977540707467715,0.32758415196252333,0.2736380452684531,0.04267433033293569,0.013864201919658727,0.010559096372285142,0.02778511333434906,-0.6999615249254241,-0.5026421934723602,-0.5042807509357572
15,SVDpp,2,double,0.6,0.5421038818339938,0.28383551961132797,0.04008983717012914,0.32758415196252333,0.2736643566356927,0.042782778440516214,0.013864201919658727,0.010537583441956003,0.027726852086965872,-0.7000735407829968,-0.502030205636595,-0.5040644204744331
16,SVDpp,2,double,0.8,0.5421038818339938,0.28393947742623504,0.039977540707467715,0.32758415196252333,0.2736389194465553,0.04267433033293569,0.013864201919658727,0.01056502124490038,0.027793577438085113,-0.6999615249254241,-0.5026421934723602,-0.5042807509357572
17,SVDpp,2,double,1.0,0.11660267804242208,0.30182775802820294,0.04188658057271196,0.32758415196252333,0.27585708684043864,0.04451794816180458,0.013864201919658727,0.010286650979861076,0.027017983399071212,-0.7023858681286027,-0.5044546189859724,-0.5105656849865077
18,NMF,2,double,0.0,0.7006914768886161,0.4521112572579691,0.053677709152161704,0.6294254891317612,0.42045321616563996,0.05259733217655352,0.003199431212228937,0.0030711577201090155,0.008653135386160622,-0.7739840039492096,-0.5378785700162256,-0.6932627687541515
19,NMF,2,double,0.2,0.23519588318424062,0.41741353833392586,0.07136440202133633,0.3302309261989125,0.40672827403177086,0.0705997180349203,0.002488446498400284,0.0024839323097410547,0.006952273740400294,-0.8084568841171801,-0.621650289535008,-0.7249364861130736
20,NMF,2,double,0.4,0.23517159120651815,0.4173974819291386,0.07142055025266704,0.3302030792976209,0.40688962354182934,0.07065394208871055,0.002488446498400284,0.0024890107719826877,0.0069586218182023365,-0.8086969180976928,-0.6200261679708619,-0.7249044371558402
21,NMF,2,double,0.6,0.23517159120651815,0.41751308804360676,0.07125210555867491,0.3302030792976209,0.4067458753441232,0.07049126992733977,0.002488446498400284,0.0025045988296965895,0.0069471952781586625,-0.8084168784537613,-0.621650289535008,-0.7249485044720361
22,NMF,2,double,0.8,0.23517159120651815,0.41739352411423164,0.07142055025266704,0.3302030792976209,0.40689192962910403,0.07065394208871055,0.002488446498400284,0.0024890107719826877,0.0069586218182023365,-0.8086969180976928,-0.6200261679708619,-0.7249044371558402
23,NMF,2,double,1.0,0.10759035430738237,0.411554615475767,0.07664233576642336,0.3302030792976209,0.40263355350908314,0.07569677909120485,0.002488446498400284,0.002485653344167385,0.00694733634655426,-0.803568192047404,-0.6076451832934584,-0.7213763811137526
