,Model,Fold,Calibration Column,Tradeoff,MACE Genres,MACE Pop,LTC,MRMC Genres,MRMC Pop,AGGDIV,Prec@10,MAP@10,MRR,GAPBB,GAPN,GAPD
0,itemknn,1,popularity,0.0,0.8304486941133256,0.3771523225500644,0.108145106091718,0.34822725116487124,0.24306355522756856,0.11002691790040377,0.006398862424457874,0.006478819991084475,0.017857848199120875,-0.83143491083938,-0.6298583294073343,-0.7369390773596133
1,itemknn,1,popularity,0.2,0.9130309431680433,0.21960952127029243,0.108145106091718,0.35350081500742137,0.08124455730880924,0.11002691790040377,0.013153217205830075,0.00902397598451633,0.025699417105389394,-0.6455599592221684,-0.7560730491398002,-0.6609555436550704
2,itemknn,1,popularity,0.4,0.9313554192746657,0.1655877177390685,0.108145106091718,0.3539440916620385,0.05304911920343603,0.11002691790040377,0.013153217205830075,0.009440720238800578,0.02636201535952694,-0.5210938053676275,-0.7696770309073714,-0.6316956333149342
3,itemknn,1,popularity,0.6,0.9434225760234979,0.1212325630998933,0.10848733744010951,0.35433171851162726,0.040213670073704,0.11036339165545088,0.013153217205830075,0.009816526444681445,0.027199115219022803,-0.3570622516123054,-0.7793131846594009,-0.6046198091609791
4,itemknn,1,popularity,0.8,0.9483762283619038,0.09714949046095506,0.10985626283367557,0.3540977304760983,0.0347817361548054,0.1117092866756393,0.012797724848915748,0.010068516919743375,0.02783321765724896,-0.3570622516123054,-0.8068990365769758,-0.5844940131792378
5,itemknn,1,popularity,1.0,0.9499328651675424,0.0945943180471621,0.11054072553045859,0.3538575471994354,0.03409843613692803,0.11238223418573351,0.012797724848915748,0.010269454742437326,0.028091231752803043,-0.3570622516123054,-0.8068990365769758,-0.5730989516514832
6,slopeOne,1,popularity,0.0,0.8387409689243349,0.38547427420310476,0.0838466803559206,0.35617194540308716,0.26925350757717664,0.08411843876177658,0.0017774617845716318,0.0011380692815104476,0.0033636348247084117,-0.8512176107897707,-0.7052470617026245,-0.8012397416212946
7,slopeOne,1,popularity,0.2,0.9492835588987378,0.2376543073823914,0.08795345653661875,0.3604709306647514,0.10022019010260931,0.08983849259757738,0.002132954141485958,0.0015614014298692574,0.004612372262567782,-0.7168601069600344,-0.7823362917188612,-0.7430127781177973
8,slopeOne,1,popularity,0.4,0.9783319218340705,0.1835368645574124,0.08898015058179329,0.36137081218099343,0.06144413629643431,0.0908479138627187,0.002488446498400284,0.0021223034776180873,0.0060361755793679,-0.5507678552932134,-0.7940508315742697,-0.7130712174524063
9,slopeOne,1,popularity,0.6,0.9953295728381204,0.13654407512738478,0.08898015058179329,0.36211529066069803,0.04569907463042127,0.0908479138627187,0.002488446498400284,0.0026927981762677813,0.007476907103640126,-0.5507678552932134,-0.8014196550317041,-0.6888779606821165
10,slopeOne,1,popularity,0.8,1.0053566892563874,0.11028250385116707,0.08932238193018481,0.3621328638078063,0.03917189173050263,0.09118438761776582,0.002488446498400284,0.0031109249008289164,0.008587256445414993,-0.5507678552932134,-0.8108668645925174,-0.6691858401747962
11,slopeOne,1,popularity,1.0,1.007070507921128,0.10835502429197773,0.09000684462696783,0.3619471305004319,0.038484937160251476,0.09185733512786003,0.002488446498400284,0.003519515401847431,0.009568528205215013,-0.5507678552932134,-0.8137010274607615,-0.6579007403456009
12,SVDpp,1,popularity,0.0,0.722114716542504,0.31223844057352645,0.07460643394934977,0.35352750385962745,0.17696592731397162,0.07705248990578735,0.011020263064344117,0.008767612389190771,0.023227616677670024,-0.7729110901528078,-0.5769539558667798,-0.6219645840215003
13,SVDpp,1,popularity,0.2,0.7607594262981272,0.18886427894300292,0.07392197125256673,0.35525748330467904,0.054356472717688495,0.07637954239569314,0.01173124777817277,0.009670633509950965,0.025630434659940547,-0.4555636117819585,-0.6992008475837042,-0.5611344456133314
14,SVDpp,1,popularity,0.4,0.7823724152912955,0.11483422798909826,0.07529089664613278,0.35503917700300985,0.03519506312931681,0.07772543741588156,0.012086740135087096,0.010077446549184908,0.026415480281459694,-0.37189927657509825,-0.7492710582560147,-0.537586372278466
15,SVDpp,1,popularity,0.6,0.7911725683120321,0.09096917288778296,0.07529089664613278,0.35415114094655903,0.03022359814245819,0.07772543741588156,0.012086740135087096,0.010422838408974212,0.02730082553225108,-0.32986103918051823,-0.796318161868865,-0.5282093323309057
16,SVDpp,1,popularity,0.8,0.7928646558981832,0.08716840857921564,0.07631759069130732,0.35353422409164015,0.02927846266850682,0.07873485868102288,0.012086740135087096,0.010529246299775984,0.02750565684266362,-0.32986103918051823,-0.7980186595898113,-0.5242933493924127
17,SVDpp,1,popularity,1.0,0.793340584657973,0.08674332266856284,0.07631759069130732,0.35334419933975963,0.02916683765210229,0.07873485868102288,0.012086740135087096,0.010552550798729255,0.027714861273339785,-0.32986103918051823,-0.7980186595898113,-0.5190264084430478
18,NMF,1,popularity,0.0,0.7383070822399765,0.3905912667377647,0.10301163586584532,0.3444351060329126,0.28664698504653224,0.10329744279946164,0.002488446498400284,0.0021752746601662347,0.006203200559759393,-0.8120643504712893,-0.7199847086174933,-0.7979240597922848
19,NMF,1,popularity,0.2,0.8184516005615529,0.24230798080341207,0.10848733744010951,0.3532173075838505,0.10247473279016782,0.11036339165545088,0.004976892996800568,0.0037274078964445122,0.01072105699727456,-0.5845633010417974,-0.7804468498066985,-0.7274773220218366
20,NMF,1,popularity,0.4,0.8375560930882344,0.1845443417466524,0.108145106091718,0.3545233302974654,0.0663458627276076,0.11002691790040377,0.005332385353714895,0.004232334004818895,0.012063887054999748,-0.3883848598670905,-0.7902719477499445,-0.6929880596803109
21,NMF,1,popularity,0.6,0.8508178873769302,0.13793775328830427,0.10780287474332649,0.35464765219747185,0.05155844502769648,0.10969044414535666,0.005687877710629221,0.00481386025200458,0.013594479147269762,-0.311314757977027,-0.7972628828249462,-0.6666438174392217
22,NMF,1,popularity,0.8,0.8574489821766117,0.11282916222301215,0.10780287474332649,0.35476316271364366,0.045583073294267494,0.10969044414535666,0.006043370067543548,0.00514219694276573,0.014464730079731864,-0.311314757977027,-0.8082216459154896,-0.6475548031867542
